Event.Clearance.Group,Event.Clearance.Date,Latitude,Longitude
ASSAULTS,01/01/2017 03:10:08 AM,47.614655,-122.32079
LIQUOR VIOLATIONS,01/01/2017 03:12:01 AM,47.69201,-122.34454
TRAFFIC RELATED CALLS,01/01/2017 03:12:45 PM,47.671646,-122.38759
TRAFFIC RELATED CALLS,01/01/2017 03:15:56 AM,47.611065,-122.34261
TRAFFIC RELATED CALLS,01/01/2017 03:17:46 AM,47.625416,-122.34626
TRAFFIC RELATED CALLS,01/01/2017 03:17:54 AM,47.61194,-122.34608
TRAFFIC RELATED CALLS,01/01/2017 03:18:00 AM,47.615448,-122.330734
TRAFFIC RELATED CALLS,01/01/2017 03:18:08 AM,47.626316,-122.3567
DISTURBANCES,01/01/2017 03:18:17 AM,47.62544,-122.35148
DISTURBANCES,01/01/2017 03:19:23 AM,47.613655,-122.345
DISTURBANCES,01/01/2017 03:19:37 AM,47.6125,-122.343056
FALSE ALACAD,01/01/2017 03:21:10 AM,47.670902,-122.37755
SHOPLIFTING,01/01/2017 03:21:39 PM,47.65502,-122.34246
DISTURBANCES,01/01/2017 03:22:42 AM,47.7058,-122.3447
TRAFFIC RELATED CALLS,01/01/2017 03:26:02 AM,47.69064,-122.36935
MOTOR VEHICLE COLLISION INVESTIGATION,01/01/2017 03:26:09 PM,47.61669,-122.346176
TRAFFIC RELATED CALLS,01/01/2017 03:26:19 AM,47.68952,-122.33105
TRAFFIC RELATED CALLS,01/01/2017 03:27:47 AM,47.686928,-122.34046
TRAFFIC RELATED CALLS,01/01/2017 03:28:09 AM,47.666393,-122.30717
"PROPERTY - MISSING, FOUND",01/01/2017 03:31:03 PM,47.6237,-122.32093
SUSPICIOUS CIRCUMSTANCES,01/01/2017 03:33:00 PM,47.61392,-122.3514
OTHER PROPERTY,01/01/2017 03:33:05 AM,47.663963,-122.30834
CAR PROWL,01/01/2017 03:38:51 AM,47.611607,-122.33335
DISTURBANCES,01/01/2017 03:39:19 AM,47.609283,-122.338905
OTHER PROPERTY,01/01/2017 03:39:54 AM,47.61911,-122.33587
FRAUD CALLS,01/01/2017 03:41:12 PM,47.609406,-122.33215
CAR PROWL,01/01/2017 03:45:46 PM,47.672184,-122.33762
ROBBERY,01/01/2017 03:48:34 AM,47.663963,-122.30834
DISTURBANCES,01/01/2017 03:48:36 AM,47.621525,-122.356735
"NUISANCE, MISCHIEF",01/01/2017 03:48:54 AM,47.61752,-122.34757
DISTURBANCES,01/01/2017 03:56:57 AM,47.630302,-122.32888
DISTURBANCES,01/01/2017 03:57:42 AM,47.609016,-122.30212
SHOPLIFTING,01/01/2017 03:58:13 PM,47.609253,-122.33734
TRESPASS,01/01/2017 03:59:59 PM,47.66982,-122.38474
DISTURBANCES,01/01/2017 04:00:12 AM,47.652126,-122.35394
FALSE ALACAD,01/01/2017 04:01:46 AM,47.6152,-122.2865
DISTURBANCES,01/01/2017 04:03:35 AM,47.614056,-122.33406
MOTOR VEHICLE COLLISION INVESTIGATION,01/01/2017 04:04:51 PM,47.705048,-122.344696
MOTOR VEHICLE COLLISION INVESTIGATION,01/01/2017 04:07:47 PM,47.668663,-122.37621
ASSAULTS,01/01/2017 04:09:44 AM,47.610394,-122.31678
TRAFFIC RELATED CALLS,01/01/2017 04:10:03 PM,47.614025,-122.347755
PROPERTY DAMAGE,01/01/2017 04:10:13 AM,47.617733,-122.326256
TRESPASS,01/01/2017 04:10:29 AM,47.610264,-122.32292
TRESPASS,01/01/2017 04:10:43 PM,47.60998,-122.337234
"THREATS, HARASSMENT",01/01/2017 04:11:13 AM,47.605785,-122.324196
TRAFFIC RELATED CALLS,01/01/2017 04:11:53 AM,47.63048,-122.352646
TRESPASS,01/01/2017 04:12:43 AM,47.613754,-122.34914
DISTURBANCES,01/01/2017 04:12:53 AM,47.624695,-122.32198
SUSPICIOUS CIRCUMSTANCES,01/01/2017 04:13:32 AM,47.614063,-122.32211
DISTURBANCES,01/01/2017 04:14:57 AM,47.61581,-122.322136
MOTOR VEHICLE COLLISION INVESTIGATION,01/01/2017 04:15:52 AM,47.6158,-122.35062
SUSPICIOUS CIRCUMSTANCES,01/01/2017 04:18:58 PM,47.70029,-122.305565
"NUISANCE, MISCHIEF",01/01/2017 04:20:31 PM,47.6657,-122.37218
TRAFFIC RELATED CALLS,01/01/2017 04:23:04 AM,47.650337,-122.37888
MOTOR VEHICLE COLLISION INVESTIGATION,01/01/2017 04:24:30 PM,47.675816,-122.31566
TRESPASS,01/01/2017 04:25:10 PM,47.609516,-122.33835
MOTOR VEHICLE COLLISION INVESTIGATION,01/01/2017 04:28:13 AM,47.688454,-122.29604
FALSE ALACAD,01/01/2017 04:31:50 AM,47.608723,-122.33532
MOTOR VEHICLE COLLISION INVESTIGATION,01/01/2017 04:33:40 AM,47.60887,-122.326256
TRAFFIC RELATED CALLS,01/01/2017 04:35:44 AM,47.62545,-122.3554
FALSE ALACAD,01/01/2017 04:41:31 AM,47.611176,-122.33603
DISTURBANCES,01/01/2017 04:42:19 AM,47.61817,-122.33673
"PROPERTY - MISSING, FOUND",01/01/2017 04:42:23 PM,47.614685,-122.31685
MOTOR VEHICLE COLLISION INVESTIGATION,01/01/2017 04:44:31 PM,47.63783,-122.320076
DISTURBANCES,01/01/2017 04:46:01 AM,47.6785,-122.300644
TRESPASS,01/01/2017 04:46:36 PM,47.61858,-122.34964
TRAFFIC RELATED CALLS,01/01/2017 04:46:54 AM,47.663998,-122.31309
FRAUD CALLS,01/01/2017 04:47:13 PM,47.68216,-122.34164
LEWD CONDUCT,01/01/2017 04:47:49 PM,47.611065,-122.34261
SUSPICIOUS CIRCUMSTANCES,01/01/2017 04:50:58 PM,47.6617,-122.322945
PROPERTY DAMAGE,01/01/2017 04:54:09 AM,47.62264,-122.34237
FRAUD CALLS,01/01/2017 04:55:14 PM,47.68216,-122.34164
DISTURBANCES,01/01/2017 04:56:07 AM,47.66213,-122.33842
BEHAVIORAL HEALTH,01/01/2017 04:59:14 PM,47.701794,-122.34466
LIQUOR VIOLATIONS,01/01/2017 05:01:03 PM,47.60975,-122.33779
SUSPICIOUS CIRCUMSTANCES,01/01/2017 05:01:16 AM,47.66403,-122.31741
OTHER PROPERTY,01/01/2017 05:02:29 PM,47.61442,-122.346306
TRAFFIC RELATED CALLS,01/01/2017 05:02:47 PM,47.62211,-122.35673
PROPERTY DAMAGE,01/01/2017 05:12:54 PM,47.705917,-122.315506
DISTURBANCES,01/01/2017 05:18:50 AM,47.662125,-122.339905
SHOPLIFTING,01/01/2017 05:19:41 PM,47.609253,-122.33734
TRAFFIC RELATED CALLS,01/01/2017 05:20:38 AM,47.608818,-122.34002
SHOPLIFTING,01/01/2017 05:21:07 PM,47.609253,-122.33734
SHOPLIFTING,01/01/2017 05:22:07 PM,47.609253,-122.33734
TRAFFIC RELATED CALLS,01/01/2017 05:25:22 PM,47.705048,-122.344696
FALSE ALACAD,01/01/2017 05:27:12 AM,47.620243,-122.33042
DISTURBANCES,01/01/2017 05:27:32 AM,47.66867,-122.37815
HAZARDS,01/01/2017 05:27:56 AM,47.624546,-122.34235
TRAFFIC RELATED CALLS,01/01/2017 05:32:00 AM,47.611168,-122.32076
PROPERTY DAMAGE,01/01/2017 05:33:18 AM,47.62264,-122.34237
PROPERTY DAMAGE,01/01/2017 05:33:20 PM,47.618134,-122.35556
PROPERTY DAMAGE,01/01/2017 05:35:55 PM,47.664906,-122.31421
FALSE ALACAD,01/01/2017 05:36:45 AM,47.607998,-122.29605
TRAFFIC RELATED CALLS,01/01/2017 05:38:52 PM,47.62502,-122.356705
